ObjID,H_r,u-r,g-r,i-r,z-r,y-r,GS
5604,17.38,1.72,0.48,-0.11,-0.12,-0.12,0.15
5620,17.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
5626,14.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
5645,17.2,1.72,0.48,-0.11,-0.12,-0.12,0.15
5646,15.51,1.72,0.48,-0.11,-0.12,-0.12,0.15
5653,16.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
5660,15.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
5693,16.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
5731,15.46,1.72,0.48,-0.11,-0.12,-0.12,0.15
5751,14.96,1.72,0.48,-0.11,-0.12,-0.12,0.15
5786,17.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
5797,18.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
5828,16.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
5836,15.0,1.72,0.48,-0.11,-0.12,-0.12,0.15
5863,15.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
5869,17.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
5879,17.62,1.72,0.48,-0.11,-0.12,-0.12,0.15
6037,18.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
6047,17.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
6050,15.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
6053,15.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
6063,16.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
6178,15.79,1.72,0.48,-0.11,-0.12,-0.12,0.15
6239,18.61,1.72,0.48,-0.11,-0.12,-0.12,0.15
6455,14.1,1.72,0.48,-0.11,-0.12,-0.12,0.15
6456,16.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
6489,19.22,1.72,0.48,-0.11,-0.12,-0.12,0.15
6491,18.72,1.72,0.48,-0.11,-0.12,-0.12,0.15
6569,16.67,1.72,0.48,-0.11,-0.12,-0.12,0.15
6611,16.9,1.72,0.48,-0.11,-0.12,-0.12,0.15
7025,18.08,1.72,0.48,-0.11,-0.12,-0.12,0.15
7088,16.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
7092,15.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
7236,18.32,1.72,0.48,-0.11,-0.12,-0.12,0.15
7335,17.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
7336,18.91,1.72,0.48,-0.11,-0.12,-0.12,0.15
7341,16.96,1.72,0.48,-0.11,-0.12,-0.12,0.15
7350,17.21,1.72,0.48,-0.11,-0.12,-0.12,0.15
7358,14.75,1.72,0.48,-0.11,-0.12,-0.12,0.15
7474,18.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
7480,17.24,1.72,0.48,-0.11,-0.12,-0.12,0.15
7482,16.66,1.72,0.48,-0.11,-0.12,-0.12,0.15
7753,18.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
7822,17.34,1.72,0.48,-0.11,-0.12,-0.12,0.15
7839,17.83,1.72,0.48,-0.11,-0.12,-0.12,0.15
7888,15.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
7889,15.33,1.72,0.48,-0.11,-0.12,-0.12,0.15
7977,15.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
8013,17.09,1.72,0.48,-0.11,-0.12,-0.12,0.15
8014,18.88,1.72,0.48,-0.11,-0.12,-0.12,0.15
8034,18.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
8035,17.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
8037,16.63,1.72,0.48,-0.11,-0.12,-0.12,0.15
8176,17.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
8201,15.95,1.72,0.48,-0.11,-0.12,-0.12,0.15
8507,17.21,1.72,0.48,-0.11,-0.12,-0.12,0.15
8566,16.48,1.72,0.48,-0.11,-0.12,-0.12,0.15
8567,15.36,1.72,0.48,-0.11,-0.12,-0.12,0.15
8709,17.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
9058,17.93,1.72,0.48,-0.11,-0.12,-0.12,0.15
9162,18.02,1.72,0.48,-0.11,-0.12,-0.12,0.15
9172,16.65,1.72,0.48,-0.11,-0.12,-0.12,0.15
9202,16.12,1.72,0.48,-0.11,-0.12,-0.12,0.15
9400,14.84,1.72,0.48,-0.11,-0.12,-0.12,0.15
9856,17.11,1.72,0.48,-0.11,-0.12,-0.12,0.15
9950,16.21,1.72,0.48,-0.11,-0.12,-0.12,0.15
10115,17.13,1.72,0.48,-0.11,-0.12,-0.12,0.15
10145,17.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
10150,15.47,1.72,0.48,-0.11,-0.12,-0.12,0.15
10165,17.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
10302,19.45,1.72,0.48,-0.11,-0.12,-0.12,0.15
10563,16.94,1.72,0.48,-0.11,-0.12,-0.12,0.15
10636,17.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
10860,17.32,1.72,0.48,-0.11,-0.12,-0.12,0.15
11054,17.07,1.72,0.48,-0.11,-0.12,-0.12,0.15
11066,15.23,1.72,0.48,-0.11,-0.12,-0.12,0.15
11284,18.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
11311,15.92,1.72,0.48,-0.11,-0.12,-0.12,0.15
11398,16.41,1.72,0.48,-0.11,-0.12,-0.12,0.15
11405,15.27,1.72,0.48,-0.11,-0.12,-0.12,0.15
11500,18.37,1.72,0.48,-0.11,-0.12,-0.12,0.15
11885,18.52,1.72,0.48,-0.11,-0.12,-0.12,0.15
12538,15.97,1.72,0.48,-0.11,-0.12,-0.12,0.15
12711,16.04,1.72,0.48,-0.11,-0.12,-0.12,0.15
12923,15.82,1.72,0.48,-0.11,-0.12,-0.12,0.15
13553,16.54,1.72,0.48,-0.11,-0.12,-0.12,0.15
13651,17.89,1.72,0.48,-0.11,-0.12,-0.12,0.15
14402,18.77,1.72,0.48,-0.11,-0.12,-0.12,0.15
14827,18.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
15745,17.41,1.72,0.48,-0.11,-0.12,-0.12,0.15
15817,18.47,1.72,0.48,-0.11,-0.12,-0.12,0.15
16064,16.86,1.72,0.48,-0.11,-0.12,-0.12,0.15
16636,18.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
16657,16.69,1.72,0.48,-0.11,-0.12,-0.12,0.15
16816,16.26,1.72,0.48,-0.11,-0.12,-0.12,0.15
16834,15.8,1.72,0.48,-0.11,-0.12,-0.12,0.15
16912,17.92,1.72,0.48,-0.11,-0.12,-0.12,0.15
16960,14.42,1.72,0.48,-0.11,-0.12,-0.12,0.15
17181,16.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
17182,17.14,1.72,0.48,-0.11,-0.12,-0.12,0.15
17188,16.4,1.72,0.48,-0.11,-0.12,-0.12,0.15
17274,16.87,1.72,0.48,-0.11,-0.12,-0.12,0.15
17511,17.32,1.72,0.48,-0.11,-0.12,-0.12,0.15
18106,17.78,1.72,0.48,-0.11,-0.12,-0.12,0.15
18109,17.19,1.72,0.48,-0.11,-0.12,-0.12,0.15
18172,15.7,1.72,0.48,-0.11,-0.12,-0.12,0.15
18736,15.99,1.72,0.48,-0.11,-0.12,-0.12,0.15
18882,16.15,1.72,0.48,-0.11,-0.12,-0.12,0.15
19356,17.01,1.72,0.48,-0.11,-0.12,-0.12,0.15
