ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39265,60370.38419,192.6418095,-32.5378881,193.6751407,-32.7017579,2.8e-06,i,18.024,18.017,0.004,0.004,23.121,23.116
39265,60370.39716,192.6418095,-32.5378881,193.6725815,-32.7020265,2.9e-06,z,18.076,18.057,0.006,0.006,22.52,22.515
39265,60371.23101,195.2225231,-33.5546893,193.5100176,-32.7191866,2.8e-06,z,18.062,18.062,0.005,0.005,22.882,22.803
39265,60371.39162,195.2225231,-33.5546893,193.4775714,-32.7222003,2.8e-06,i,18.007,18.005,0.004,0.004,23.258,23.175
39265,60372.3968,193.6312686,-33.2358203,193.2765032,-32.73958,2.8e-06,z,18.048,18.042,0.005,0.005,22.845,22.845
39265,60373.20796,193.6570145,-33.5014042,193.1122531,-32.75143,2.8e-06,r,18.184,18.178,0.003,0.003,24.033,24.028
39265,60373.23276,193.6570145,-33.5014042,193.1070589,-32.7517792,2.8e-06,i,17.994,17.986,0.003,0.003,23.627,23.622
39265,60374.34722,192.1142191,-34.1159491,192.8757149,-32.7646285,2.8e-06,i,17.986,17.973,0.003,0.003,23.839,23.79
39265,60374.37358,192.1142191,-34.1159491,192.8700981,-32.7648609,2.8e-06,z,18.03,18.028,0.004,0.004,23.095,23.047
39265,60376.33593,192.885252,-33.56991,192.4528859,-32.7780331,2.8e-06,g,18.81,18.796,0.002,0.002,24.822,24.817
39265,60376.35665,192.885252,-33.56991,192.4483218,-32.7780753,2.8e-06,r,18.16,18.145,0.002,0.002,24.374,24.369
632,60377.11715,138.3540647,11.7507567,137.6752655,9.9984913,3.9e-05,r,22.647,22.61,0.162,0.162,23.379,22.927
632,60377.1176,135.9939995,10.2602506,137.6751838,9.9985133,2.69e-05,r,22.865,22.685,0.115,0.115,23.411,23.329
632,60377.1416,135.9939995,10.2602506,137.6736196,9.9991726,8.7e-06,i,22.53,22.521,0.076,0.076,23.784,23.703
387449,60377.2939,208.0727629,5.2920259,209.1114959,4.6019486,1.74e-05,r,23.596,23.503,0.134,0.133,24.138,24.116
39265,60377.34082,192.8842668,-33.5905256,192.234107,-32.7800523,2.9e-06,u,20.294,20.261,0.008,0.008,24.238,24.23
39265,60377.36076,192.8842668,-33.5905256,192.2296497,-32.7800427,2.8e-06,r,18.146,18.137,0.003,0.003,23.995,23.987
387449,60378.30522,208.2165207,4.1568996,209.0293958,4.7083457,1.5e-05,g,24.287,23.941,0.123,0.122,24.697,24.689
387449,60378.32907,208.2165207,4.1568996,209.0272583,4.7108978,1.57e-05,r,23.628,23.42,0.126,0.125,24.184,24.176
387449,60378.34853,208.2165207,4.1568996,209.025498,4.7129217,1.54e-05,r,23.613,23.627,0.125,0.124,24.192,24.184
387449,60378.36886,208.2165207,4.1568996,209.0236298,4.7151164,2.37e-05,i,23.243,23.306,0.181,0.18,23.643,23.635
39265,60381.34012,192.8817522,-32.219521,191.3328784,-32.7561947,2.8e-06,r,18.117,18.097,0.002,0.002,24.428,24.391
39265,60381.36258,192.8817522,-32.219521,191.3276044,-32.7558855,2.8e-06,i,17.925,17.908,0.002,0.002,23.902,23.865
387449,60383.35141,208.6704424,4.8872052,208.5369232,5.248383,3.81e-05,g,24.062,23.958,0.187,0.186,24.106,24.106
387449,60383.37936,208.6704424,4.8872052,208.5336581,5.2513501,1.79e-05,r,23.432,23.613,0.134,0.133,24.036,24.036
632,60384.12581,137.578367,10.4153852,137.2810658,10.1951349,9e-06,r,22.805,22.744,0.067,0.067,24.041,24.041
39265,60386.31726,189.1435098,-33.8762317,190.1544794,-32.6542927,2.9e-06,y,17.932,17.919,0.007,0.007,22.14,22.093
39265,60386.34052,189.1435098,-33.8762317,190.1487601,-32.6535946,3.1e-06,y,17.94,17.917,0.008,0.008,21.837,21.79
39265,60387.30137,189.3286377,-33.5336428,189.9156232,-32.6246522,2.8e-06,z,17.934,17.903,0.003,0.003,23.337,23.327
39265,60387.32543,189.3286377,-33.5336428,189.9096659,-32.6238692,2.8e-06,i,17.87,17.858,0.003,0.003,23.48,23.47
39265,60391.14763,188.0056711,-32.6194137,188.968925,-32.4789898,2.9e-06,y,17.892,17.881,0.007,0.007,22.118,22.115
39265,60391.17046,188.0056711,-32.6194137,188.9631467,-32.4780034,2.9e-06,y,17.898,17.877,0.007,0.007,22.136,22.133
632,60397.09469,137.6294414,10.4654572,136.8070865,10.5053403,2.82e-05,i,22.639,22.745,0.18,0.18,22.89,22.887
39265,60397.31831,189.4241199,-31.6417974,187.4223086,-32.1484336,2.9e-06,i,17.798,17.79,0.006,0.006,22.414,22.28
39265,60397.34127,186.1196704,-31.8560311,187.4164513,-32.146946,2.8e-06,z,17.859,17.844,0.005,0.005,22.586,22.572
39265,60398.32378,186.4026034,-30.9279057,187.1696479,-32.0836545,3.2e-06,z,17.844,17.827,0.007,0.007,21.96,21.932
39265,60398.34756,186.4026034,-30.9279057,187.1636108,-32.082039,3.3e-06,y,17.837,17.838,0.01,0.01,21.498,21.47
632,60399.06949,137.5007909,9.6835542,136.7666484,10.5451606,2.45e-05,r,22.729,22.985,0.138,0.138,23.341,23.327
632,60399.09326,135.2698657,11.7444542,136.7661522,10.5455817,2.62e-05,i,22.846,22.785,0.197,0.197,23.312,22.796
632,60399.09371,137.5007909,9.6835542,136.7661242,10.5456309,1.57e-05,i,22.755,22.726,0.124,0.124,23.356,23.343
387449,60400.23224,206.6164126,7.128562,206.0540361,7.0228434,2.43e-05,i,23.348,23.008,0.189,0.186,23.324,23.324
387449,60402.14847,205.0758992,5.9832784,205.7119634,7.2065142,1.71e-05,g,23.805,23.739,0.123,0.121,24.434,24.401
387449,60402.17179,206.1880626,8.5516011,205.7076055,7.2087063,2.01e-05,r,23.449,23.183,0.138,0.136,23.817,23.779
387449,60402.17224,205.0758992,5.9832784,205.7075085,7.2087736,1.88e-05,r,23.539,23.05,0.132,0.131,23.863,23.83
387449,60402.23086,206.1880626,8.5516011,205.6965513,7.2143058,1.45e-05,i,23.285,22.997,0.136,0.133,23.756,23.718
39265,60402.27983,187.5349786,-32.4817212,186.1800699,-31.8006196,2.8e-06,z,17.86,17.824,0.003,0.003,23.313,23.283
39265,60402.30415,187.5349786,-32.4817212,186.1739313,-31.7987059,2.8e-06,y,17.858,17.828,0.005,0.005,22.481,22.451
39265,60403.26665,183.8319987,-31.7363243,185.9351234,-31.7232394,2.8e-06,i,17.792,17.776,0.003,0.003,23.627,23.46
39265,60403.2867,187.334917,-30.7222495,185.9300821,-31.7216141,2.8e-06,i,17.789,17.777,0.003,0.003,23.679,23.619
39265,60403.29123,183.8319987,-31.7363243,185.9289467,-31.7212511,2.8e-06,z,17.84,17.829,0.004,0.004,22.985,22.83
632,60404.02987,136.6652419,10.7150041,136.703629,10.6354208,1.48e-05,r,22.925,22.823,0.093,0.093,23.834,23.834
39265,60406.0599,185.645687,-30.2346361,185.2489952,-31.4902882,2.8e-06,r,17.99,17.967,0.002,0.002,24.317,24.29
387449,60406.2429,203.697998,7.108249,204.9545068,7.5774391,2.93e-05,g,23.751,23.7,0.152,0.151,24.14,24.111
632,60407.01185,137.9003026,10.4601787,136.6929023,10.682572,1.01e-05,r,22.795,23.021,0.078,0.078,24.083,24.064
632,60407.03569,137.9003026,10.4601787,136.6928394,10.6829448,1.08e-05,i,22.74,22.834,0.094,0.094,23.755,23.735
39265,60407.22069,185.4166348,-30.6409676,184.9662376,-31.3877701,2.8e-06,g,18.642,18.618,0.002,0.002,24.81,24.807
39265,60407.24494,185.4166348,-30.6409676,184.960273,-31.3855718,2.8e-06,r,17.988,17.972,0.002,0.002,24.258,24.255
39265,60407.27361,185.4166348,-30.6409676,184.9532233,-31.3829616,2.8e-06,r,17.997,17.968,0.002,0.002,24.335,24.331
39265,60407.29748,185.4166348,-30.6409676,184.9473698,-31.3807857,2.8e-06,i,17.807,17.783,0.002,0.002,23.744,23.74
39265,60408.09423,183.5202571,-31.2328893,184.7561312,-31.3084305,3.1e-06,u,20.116,20.103,0.01,0.01,23.799,23.788
39265,60408.11845,183.5202571,-31.2328893,184.7502027,-31.3062129,2.8e-06,r,17.985,17.97,0.002,0.002,24.147,24.136
387449,60410.26805,204.6843632,8.5256584,204.1885805,7.9080252,1.13e-05,r,23.37,23.299,0.097,0.095,24.198,24.195
